Arkivnavn,Titel,Startside (bogmærke),Slutside (bogmærke),Komponister,Genrer,Tags,Etiketter,Id,Vurdering,Sværhedsgrad,Minutter,Seconds,keysf,keymi
Bach - Prelude in C Major.pdf,Prelude in C Major BWV 846,,,Bach,Classical,Practice,Red,1,5,3,3,30,C,
Beethoven - Moonlight Sonata.pdf,Moonlight Sonata,,,Beethoven,Classical,Concert,Blue,2,4,4,5,0,C#m,
Chopin - Nocturne Op. 9 No. 2.pdf,Nocturne Op. 9 No. 2,,,Chopin,Classical,Romantic,Green,3,4,3,4,30,Eb,
Debussy - Clair de Lune.pdf,Clair de Lune,,,Debussy,Impressionist,Favorite,Yellow,4,5,4,5,0,Db,
Mozart - Sonata K. 545.pdf,Sonata K. 545 (Facile),,,Mozart,Classical,Easy,Blue,5,3,2,10,0,C,
Gershwin - Summertime.pdf,Summertime,,,Gershwin,Jazz,Standards,Red,6,4,3,3,15,Am,
Satie - Gymnopédie No. 1.pdf,Gymnopédie No. 1,,,Satie,Classical,Peaceful,Green,7,3,2,3,0,D,
Joplin - The Entertainer.pdf,The Entertainer,,,Joplin,Ragtime,Fun,Yellow,8,4,3,3,30,C,
Yiruma - River Flows in You.pdf,River Flows in You,,,Yiruma,Contemporary,Popular,Blue,9,3,3,4,0,A,
Einaudi - Nuvole Bianche.pdf,Nuvole Bianche,,,Einaudi,Contemporary,Beautiful,Red,10,4,4,5,30,F#m,
Grieg - In the Hall of the Mountain King.pdf,In the Hall of the Mountain King,,,Grieg,Classical,Dramatic,Green,11,4,3,2,30,Bm,
Pachelbel - Canon in D.pdf,Canon in D,,,Pachelbel,Baroque,Wedding,Blue,12,3,3,4,30,D,
Amelie - Comptine d'un autre été.pdf,Comptine d'un autre été,,,Yann Tiersen,Soundtrack,Movie,Yellow,13,4,4,4,0,Em,
Brahms - Lullaby.pdf,Lullaby (Wiegenlied),,,Brahms,Classical,Peaceful,Red,14,2,1,2,0,Eb,
Liszt - Liebestraum No. 3.pdf,Liebestraum No. 3,,,Liszt,Romantic,Advanced,Green,15,5,5,4,30,Ab,
